point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
US-2605-airport-PAAL,US,2605,PAAL,airport,Port Moller Airport,56.006001,-160.561005,20,US,PAAL,,,,,,OurAirports,airports.csv
US-2605-airport-PAAM,US,2605,PAAM,airport,Driftwood Bay Air Force Station Airport,53.9729499817,-166.858459473,24,US,PAAM,,,,,,OurAirports,airports.csv
US-2605-airport-PAAN,US,2605,PAAN,airport,Gold King Creek Airport,64.198328,-147.929492,1720,US,PAAN,,,,,,OurAirports,airports.csv
US-2605-airport-PAAP,US,2605,PAAP,airport,Port Alexander Seaplane Base,56.246799,-134.647995,,US,PAAP,,,,,,OurAirports,airports.csv
US-2605-airport-PAAQ,US,2605,PAAQ,airport,"Warren ""Bud"" Woods Palmer Municipal Airport",61.594898,-149.08901,242,US,PAAQ,,,,,,OurAirports,airports.csv
US-2605-airport-PAAT,US,2605,PAAT,airport,Casco Cove Coast Guard Station,52.829797,173.173796,40,US,PAAT,,,,,,OurAirports,airports.csv
US-2605-airport-PABA,US,2605,PABA,airport,Barter Island Long Range Radar Station Airport,70.134003,-143.582001,2,US,PABA,,,,,,OurAirports,airports.csv
US-2605-airport-PABE,US,2605,PABE,airport,Bethel Airport,60.77980042,-161.8379974,126,US,PABE,,,,,,OurAirports,airports.csv
US-2605-airport-PABG,US,2605,PABG,airport,Beluga Airport,61.1721992493,-151.044006348,130,US,PABG,,,,,,OurAirports,airports.csv
US-2605-airport-PABI,US,2605,PABI,airport,Allen Army Airfield,63.994499,-145.722,1291,US,PABI,,,,,,OurAirports,airports.csv
US-2605-airport-PABL,US,2605,PABL,airport,Buckland Airport,65.981598,-161.149002,31,US,PABL,,,,,,OurAirports,airports.csv
US-2605-airport-PABM,US,2605,PABM,airport,Big Mountain Airport,59.362274,-155.260148,663,US,PABM,,,,,,OurAirports,airports.csv
US-2605-airport-PABN,US,2605,PABN,airport,Devils Mountain Lodge Airport,62.399731,-142.995365,2880,US,PABN,,,,,,OurAirports,airports.csv
US-2605-airport-PABP,US,2605,PABP,airport,Badami Airport,70.13749694824219,-147.02999877929688,26,US,PABP,,,,,,OurAirports,airports.csv
US-2605-airport-PABR,US,2605,PABR,airport,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,44,US,PABR,,,,,,OurAirports,airports.csv
