Arpt_ICAO	Procedure Type	Procedure Ident
KISM	STAR	PRICY5
KISM	STAR	SHREK2
KISM	STAR	SLOAO1
KISM	STAR	SNFLD3
KISO	SIAP	I05
KISO	SIAP	L05
KISO	SIAP	R05
KISO	SIAP	R23
KISP	SIAP	I06
KISP	SIAP	I24
KISP	SIAP	L06
KISP	SIAP	L24
KISP	SIAP	R06
KISP	SIAP	R15R
KISP	SIAP	R24
KISP	SIAP	R33L
KISP	STAR	LOVES1
KISP	STAR	NELIE4
KISP	STAR	SARDI1
KISQ	SIAP	R10
KISQ	SIAP	R28
KISW	SIAP	R02
KISW	SIAP	R20
KITH	SIAP	I32
KITH	SIAP	L32
KITH	SIAP	R14-Y
KITH	SIAP	R14-Z
KITH	SIAP	R32
KITR	SIAP	L33
KITR	SIAP	R15
KITR	SIAP	R33
KIUA	SIAP	R13
KIUA	SIAP	R31
KIUA	SIAP	VOR-A
KIWA	SIAP	H30CZ
KIWA	SIAP	I30C
KIWA	SIAP	L30C
KIWA	SIAP	R12C
KIWA	SIAP	R12R
KIWA	SIAP	R30CY
KIWA	SIAP	R30L
KIWA	SIAP	R30R
KIWA	SID	BNYRD6
KIWA	SID	FTHLS6
KIWA	SID	IZZZO8
KIWA	SID	JUDTH7
KIWA	SID	KATMN6
KIWA	SID	LALUZ6
KIWA	SID	MAYSA7
KIWA	SID	PXR1
KIWA	SID	SNOBL6
KIWA	SID	YOTES6
KIWA	STAR	ARLIN4
KIWA	STAR	BLH5
KIWA	STAR	DSERT2
KIWA	STAR	HUUTY1
KIWA	STAR	SUNSS8
KIWD	SIAP	R09
KIWD	SIAP	R27
KIWH	SIAP	R09
KIWH	SIAP	R27
KIWI	SIAP	R07
KIWI	SIAP	R25
KIWS	SIAP	R15
KIWS	SIAP	R33
KIWS	SID	AEX3
KIWS	SID	BLTWY7
KIWS	SID	BORRN6
KIWS	SID	CRIED1
KIWS	SID	ELD1
KIWS	SID	GIFFA1
KIWS	SID	HOODO7
KIWS	SID	INDIE8
KIWS	SID	KARRR7
KIWS	SID	LFK4
KIWS	SID	LOA4
KIWS	SID	LURIC8
KIWS	SID	MMALT7
KIWS	SID	STRYA8
KIWS	SID	STYCK8
KIWS	SID	WATFO6
KIWS	SID	WYLSN8
KIWS	STAR	CESAN4
KIWS	STAR	HUDZY5
KIWS	STAR	OHIIO4
KIWS	STAR	SNDAY1
KIWS	STAR	TKNIQ3
KIWS	STAR	TSHRT2
KIWS	STAR	WAPPL7
KIXA	SIAP	R02
KIXA	SIAP	R20
KIXD	SIAP	I36
KIXD	SIAP	L36
KIXD	SIAP	R04
KIXD	SIAP	R18
KIXD	SIAP	R22
KIXD	SIAP	R36
KIXD	SID	CHIEF9
KIXD	SID	LAKES5
KIXD	SID	RACER8
KIXD	SID	ROYAL2
KIXD	SID	TIFTO8
KIXD	SID	WLDCT6
KIXD	STAR	BQS8
KIXD	STAR	JHAWK8
KIXD	STAR	TYGER7
KIYA	SIAP	R16
KIYA	SIAP	R34
KIYK	SIAP	R02
KIYK	SID	IYK2
KIYK	SID	LHS2
KIZA	SIAP	R08
KIZA	SIAP	RNV-A
KIZA	SIAP	S08
KIZG	SIAP	R32
KJAC	SIAP	H01-Y
KJAC	SIAP	H01-Z
KJAC	SIAP	H19-X
KJAC	SIAP	H19-Y
KJAC	SIAP	I19-Y
KJAC	SIAP	I19-Z
KJAC	SIAP	L19-Y
KJAC	SIAP	L19-Z
KJAC	SIAP	R01-X
KJAC	SIAP	R19-Z
KJAC	SIAP	S01
KJAC	SID	ALPIN5
KJAC	SID	DIVYD2
KJAC	SID	GEYSR6
KJAC	SID	TETON3
KJAN	SIAP	D16L
KJAN	SIAP	D16R
KJAN	SIAP	D34L
KJAN	SIAP	D34R
KJAN	SIAP	I16L
KJAN	SIAP	I34L
KJAN	SIAP	L16L
KJAN	SIAP	L34L
KJAN	SIAP	R16L
KJAN	SIAP	R16R
KJAN	SIAP	R34L
KJAN	SIAP	R34R
KJAQ	SIAP	P01
KJAS	SIAP	R18
KJAS	SIAP	R36
KJAU	SIAP	R23
KJAX	SIAP	D32
KJAX	SIAP	H08-Y
KJAX	SIAP	H14-Y
KJAX	SIAP	H26-Y
KJAX	SIAP	H32-Y
KJAX	SIAP	I08-Y
KJAX	SIAP	I14-Y
KJAX	SIAP	I26-Y
KJAX	SIAP	L08-Y
KJAX	SIAP	L14-Y
KJAX	SIAP	L26-Y
KJAX	SIAP	R08-Z
KJAX	SIAP	R14-Z
KJAX	SIAP	R26-Z
KJAX	SIAP	R32-Z
KJAX	SID	BRSTL1
KJAX	SID	CROSB2
KJAX	SID	EXBOX2
KJAX	SID	JAX7
KJAX	SID	JETIN2
KJAX	SID	SAWGY3
KJAX	STAR	ALCRN1
KJAX	STAR	HOTAR1
KJAX	STAR	LUNNI2
KJAX	STAR	MARQO3
KJAX	STAR	OHDEA2
KJAX	STAR	POGIE2
KJAX	STAR	QUBEN2
KJAX	STAR	TEBOW2
KJBR	SIAP	I23
KJBR	SIAP	L23
KJBR	SIAP	R05
KJBR	SIAP	R23
KJBR	SIAP	R31
KJCA	SIAP	R17
KJCA	SIAP	R35
KJCA	SIAP	S35
KJCT	SIAP	R17
KJDD	SIAP	R18
KJDD	SIAP	R36
KJEF	SIAP	I30
KJEF	SIAP	L30
KJEF	SIAP	R12
KJEF	SIAP	R30
KJER	SIAP	R09
KJER	SIAP	R27
KJER	SIAP	VOR-A
KJES	SIAP	R11
KJES	SIAP	R29
KJFK	SIAP	I04L
KJFK	SIAP	I04R
KJFK	SIAP	I13L
KJFK	SIAP	I22L
KJFK	SIAP	I22R
KJFK	SIAP	I31L
KJFK	SIAP	I31R
KJFK	SIAP	L04L
KJFK	SIAP	L04R
KJFK	SIAP	L13L
KJFK	SIAP	L22L
KJFK	SIAP	L22R
KJFK	SIAP	L31L
KJFK	SIAP	L31R
KJFK	SIAP	R027
KJFK	SIAP	R04LY
KJFK	SIAP	R04RY
KJFK	SIAP	R22LX
KJFK	SIAP	R22LY
KJFK	SIAP	R22R
KJFK	SIAP	R31L
KJFK	SIAP	R31R
KJFK	SIAP	S13L
KJFK	SIAP	S13R
KJFK	SID	DEEZZ6
KJFK	SID	SKORR6
KJFK	STAR	CAMRN5
KJFK	STAR	PARCH4
KJFK	STAR	PAWLN1
KJFK	STAR	PUCKY1
KJFX	SIAP	I27
KJFX	SIAP	L27
KJFX	SIAP	R09
KJFX	SIAP	R27
KJFX	SIAP	VDM-A
KJFZ	SIAP	L25
KJFZ	SIAP	R07
KJFZ	SIAP	R25
KJGG	SIAP	RNV-C
KJGG	SIAP	VOR-B
KJGG	STAR	KOHLS1
KJHN	SIAP	R17
KJHN	SIAP	R35
KJHW	SIAP	I25
KJHW	SIAP	L25
KJHW	SIAP	R07
KJHW	SIAP	R25
KJHW	SIAP	R31
KJKA	SIAP	I27
KJKA	SIAP	L27
KJKA	SIAP	R09
KJKA	SIAP	R27
KJKJ	SIAP	R30
KJKL	SIAP	R01
KJLN	SIAP	I13
KJLN	SIAP	I18
KJLN	SIAP	L13
KJLN	SIAP	L18
KJLN	SIAP	R13
KJLN	SIAP	R18
KJLN	SIAP	R31
KJLN	SIAP	R36
KJMR	SIAP	R35
KJMS	SIAP	B13
KJMS	SIAP	I31
KJMS	SIAP	L31
KJMS	SIAP	R04
KJMS	SIAP	R13
KJMS	SIAP	R22
KJMS	SIAP	R31
KJNX	SIAP	I03-Y
KJNX	SIAP	I03-Z
KJNX	SIAP	L03-Y
KJNX	SIAP	L03-Z
KJNX	SIAP	R03
KJNX	SIAP	R21
KJPX	SIAP	R10-Z
KJPX	SIAP	R28-Z
KJPX	STAR	SARDI1
KJQD	SIAP	R03
KJQD	SIAP	R21
KJQF	SIAP	I20
KJQF	SIAP	L20
KJQF	SIAP	R02
KJQF	SIAP	R20
KJQF	SID	BARMY6
KJQF	SID	BEAVY7
KJQF	SID	BOBZY6
KJQF	SID	ESTRR6
KJQF	SID	ICONS6
KJQF	SID	JOJJO6
KJQF	SID	KER5
KJQF	SID	KILNS6
KJQF	SID	KNI4
KJQF	SID	KRITR7
KJQF	SID	KWEEN6
KJQF	SID	LILLS4
KJQF	SID	WEAZL6
KJQF	STAR	JOOLS2
KJQF	STAR	KABEE3
KJQF	STAR	NASCR1
KJRA	SIAP	R210
KJRA	SID	HUDSN1
KJRB	SID	HUDSN1
KJRO	SIAP	R01
KJRO	SIAP	R19
KJSO	SIAP	R14
KJSO	SIAP	R32
KJST	SIAP	R05
KJST	SIAP	R15
KJST	SIAP	R23
KJST	SIAP	R33
KJST	SIAP	S15-Z
KJST	SIAP	S23-Z
KJST	SID	JENER4
KJST	SID	LILLI5
KJSV	SIAP	R35
KJSY	SIAP	RNV-A
KJTC	SIAP	R21
KJVL	SIAP	I04
KJVL	SIAP	I32
KJVL	SIAP	L04
KJVL	SIAP	L32
KJVL	SIAP	R04
KJVL	SIAP	R14
KJVL	SIAP	R22
KJVL	SIAP	R32
KJVW	SIAP	I12
KJVW	SIAP	L12
KJVW	SIAP	R12
KJVW	SIAP	R30
KJVY	SIAP	I18
KJVY	SIAP	L18
KJVY	SIAP	R18
KJVY	SIAP	R36
KJVY	STAR	JMONY2
KJVY	STAR	LEDDL1
KJVY	STAR	MBELL5
KJWG	SIAP	R17
KJWG	SIAP	R35
KJWN	SIAP	I20
KJWN	SIAP	L20
KJWN	SIAP	R02
KJWN	SIAP	R20
KJWY	SIAP	R18
KJWY	SIAP	R36
KJWY	SID	BOTCH2
KJWY	SID	GARL6
KJWY	SID	JPOOL8
KJWY	SID	KING5
KJWY	SID	KUSSO3
KJWY	SID	NANDR4
KJWY	STAR	DODJE6
KJWY	STAR	FINGR1
KJWY	STAR	GREGS1
KJWY	STAR	HERBZ2
KJWY	STAR	JFRYE5
KJWY	STAR	REEKO3
KJWY	STAR	SLANT3
KJWY	STAR	SWVAY4
KJWY	STAR	WESAT3
KJXI	SIAP	R18
KJXI	SIAP	R36
KJXN	SIAP	I25
KJXN	SIAP	L25
KJXN	SIAP	R07
KJXN	SIAP	R14
KJXN	SIAP	R25
KJXN	SIAP	R32
KJYG	SIAP	R15
KJYG	SIAP	R33
KJYL	SIAP	R05
KJYL	SIAP	R23
KJYM	SIAP	R10
KJYM	SIAP	R28
KJYO	SIAP	I17
KJYO	SIAP	L17
KJYO	SIAP	R17
KJYO	SID	CLTCH3
KJYO	SID	JDUBB4
KJYO	SID	PTOMC2
KJYO	SID	SCRAM6
KJYO	STAR	GIBBZ5
KJYO	STAR	HYPER9
KJYO	STAR	PRIVO3
KJYO	STAR	TRSTN4
KJYR	SIAP	R17
KJYR	SIAP	R35
KJZI	SIAP	R04
KJZI	SIAP	R09
KJZI	SIAP	R27
KJZI	SID	EXTVE1
KJZI	SID	KIAWA2
KJZI	STAR	AMYLU3
KJZI	STAR	BAGGY3
KJZI	STAR	OSPRI7
KJZP	SIAP	R16
KJZP	SIAP	R34
KKIC	SIAP	R11
KKIC	SIAP	R29
KKLS	SIAP	R12
KKLS	SID	KELSO2
KKNB	SIAP	R01
KKNB	SID	KACIR2
KLAA	SIAP	R08
KLAA	SIAP	R18
KLAA	SIAP	R26
KLAA	SIAP	R36
KLAA	SIAP	S18
KLAA	SIAP	S36
KLAF	SIAP	R10
KLAF	SIAP	R28
KLAF	SIAP	VOR-A
KLAL	SIAP	H28-Z
KLAL	SIAP	I10
KLAL	SIAP	L10
KLAL	SIAP	R05
KLAL	SIAP	R10
KLAL	SIAP	R23
KLAL	SIAP	R28
KLAL	SIAP	R28-Y
KLAL	SID	OWAYY1
KLAL	SID	SBOAT1
KLAL	STAR	LUBBR4
KLAL	STAR	MAATY5
KLAL	STAR	RAYZZ3
KLAM	SIAP	R27-Y
KLAM	SIAP	R27-Z
KLAN	SIAP	I10R
KLAN	SIAP	I28L
KLAN	SIAP	L10R
KLAN	SIAP	L28L
KLAN	SIAP	R06
KLAN	SIAP	R10R
KLAN	SIAP	R24
KLAN	SIAP	R28L
KLAR	SIAP	D30
KLAR	SIAP	R03
KLAR	SIAP	R12
KLAR	SIAP	R21
KLAR	SIAP	R30
KLAR	SID	LAR1
KLAS	SIAP	H08R
KLAS	SIAP	H19LZ
KLAS	SIAP	H19RZ
KLAS	SIAP	H26L
KLAS	SIAP	H26R
KLAS	SIAP	I01L
KLAS	SIAP	I26LY
KLAS	SIAP	I26LZ
KLAS	SIAP	I26RY
KLAS	SIAP	I26RZ
KLAS	SIAP	L01L
KLAS	SIAP	L26LY
KLAS	SIAP	L26LZ
KLAS	SIAP	L26RY
KLAS	SIAP	L26RZ
KLAS	SIAP	R01R
KLAS	SIAP	R19LY
KLAS	SIAP	R19RY
KLAS	SIAP	S26L
KLAS	SIAP	S26R
KLAS	SID	FRNCK1
KLAS	SID	GIDGT4
KLAS	SID	HOOVR8
KLAS	SID	JOHKR5
KLAS	SID	LOHLA3
KLAS	SID	MCCRN8
KLAS	SID	NIITZ4
KLAS	SID	RADYR2
KLAS	SID	RASLR3
KLAS	SID	RATPK3
KLAS	STAR	BLAID2
KLAS	STAR	CHOWW4
KLAS	STAR	COKTL4
KLAS	STAR	CRESO5
KLAS	STAR	GAMES2
KLAS	STAR	ISHEE2
KLAS	STAR	JAYSN3
KLAS	STAR	LARKK1
KLAS	STAR	PUMLE1
KLAS	STAR	RKSTR4
KLAS	STAR	RNDRZ4
KLAW	SIAP	R35
KLAX	SIAP	H06LZ
KLAX	SIAP	H06RZ
KLAX	SIAP	H07LZ
KLAX	SIAP	H07RZ
KLAX	SIAP	H24LZ
KLAX	SIAP	H24RZ
KLAX	SIAP	H25LZ
KLAX	SIAP	H25RZ
KLAX	SIAP	I06L
KLAX	SIAP	I06R
KLAX	SIAP	I07L
KLAX	SIAP	I07R
KLAX	SIAP	I24L
KLAX	SIAP	I24R
KLAX	SIAP	I25L
KLAX	SIAP	I25R
KLAX	SIAP	L06L
KLAX	SIAP	L06R
KLAX	SIAP	L07L
KLAX	SIAP	L07R
KLAX	SIAP	L24L
KLAX	SIAP	L24R
KLAX	SIAP	L25L
KLAX	SIAP	L25R
KLAX	SIAP	R06LY
KLAX	SIAP	R06RY
KLAX	SIAP	R07LY
KLAX	SIAP	R07RY
KLAX	SIAP	R24LY
KLAX	SIAP	R24RY
KLAX	SIAP	R25LY
KLAX	SIAP	R25RY
KLAX	SID	CHATY5
KLAX	SID	DARRK3
KLAX	SID	DOTSS2
KLAX	SID	GARDY4
KLAX	SID	GMN7
KLAX	SID	KYLOW1
KLAX	SID	LADYJ4
KLAX	SID	LAXX1
KLAX	SID	MOOOS2
KLAX	SID	MUELR4
KLAX	SID	ORCKA5
KLAX	SID	OSHNN1
KLAX	SID	PNDAH2
KLAX	SID	PRCH3
KLAX	SID	SEBBY3
KLAX	SID	SKWRL2
KLAX	SID	SLI8
KLAX	SID	STHBY1
KLAX	SID	SUMMR2
KLAX	SID	SXC8
KLAX	SID	TRTON3
KLAX	SID	VTU8
KLAX	SID	WNNDY3
KLAX	SID	ZILLI5
KLAX	STAR	ANJLL4
KLAX	STAR	BASET5
KLAX	STAR	BAYST1
KLAX	STAR	BIGBR3
KLAX	STAR	BOGET2
KLAX	STAR	BRUEN2
KLAX	STAR	DIRBY2
KLAX	STAR	GOATZ2
KLAX	STAR	HLYWD1
KLAX	STAR	HUULL2
KLAX	STAR	IRNMN2
KLAX	STAR	KIMMO3
KLAX	STAR	LEENA8
KLAX	STAR	MDNYT2
KLAX	STAR	MOOR4
KLAX	STAR	OCEAN3
KLAX	STAR	OLAAA2
KLAX	STAR	RYDRR2
KLAX	STAR	SADDE8
KLAX	STAR	SEAVU2
KLAX	STAR	SNSTT2
KLAX	STAR	VISTA3
KLAX	STAR	WAYVE1
KLAX	STAR	ZUUMA4
KLBB	SIAP	B35L
KLBB	SIAP	H17RZ
KLBB	SIAP	H35LZ
KLBB	SIAP	I17R
KLBB	SIAP	I26
KLBB	SIAP	L17R
KLBB	SIAP	L26
KLBB	SIAP	R08
KLBB	SIAP	R17RY
KLBB	SIAP	R26
KLBB	SIAP	R35LY
KLBE	SIAP	I24
KLBE	SIAP	L24
KLBE	SIAP	R06
KLBE	SIAP	R24
KLBF	SIAP	I30
KLBF	SIAP	L30
KLBF	SIAP	R12
KLBF	SIAP	R30
KLBF	SIAP	R35
KLBF	SIAP	S35
KLBL	SIAP	I35
KLBL	SIAP	L35
KLBL	SIAP	R04
KLBL	SIAP	R17
KLBL	SIAP	R22
KLBL	SIAP	R35
KLBO	SIAP	R18
KLBO	SIAP	R36
KLBT	SIAP	I05
KLBT	SIAP	L05
KLBT	SIAP	R05
KLBT	SIAP	R13
KLBT	SIAP	R23
KLBX	SIAP	R17
KLBX	SIAP	R35
KLBX	SID	AEX3
KLBX	SID	BLTWY7
KLBX	SID	BORRN6
KLBX	SID	CRIED1
KLBX	SID	ELD1
KLBX	SID	GIFFA1
KLBX	SID	HOODO7
KLBX	SID	INDIE8
KLBX	SID	KARRR7
KLBX	SID	LFK4
KLBX	SID	LOA4
KLBX	SID	LURIC8
KLBX	SID	MMALT7
KLBX	SID	STRYA8
KLBX	SID	STYCK8
KLBX	SID	WATFO6
KLBX	SID	WYLSN8
KLBX	STAR	CESAN4
KLBX	STAR	HUDZY5
KLBX	STAR	KIDDZ5
KLBX	STAR	OHIIO4
KLBX	STAR	SNDAY1
KLBX	STAR	TKNIQ3
KLBX	STAR	TSHRT2
KLBX	STAR	WAPPL7
KLCG	SIAP	R18
KLCG	SIAP	R23
KLCG	SIAP	R36
KLCH	SIAP	I15
KLCH	SIAP	L15
KLCH	SIAP	R05
KLCH	SIAP	R15
KLCH	SIAP	R23
KLCH	SIAP	R33
KLCH	SIAP	VOR-B
KLCI	SIAP	I08
KLCI	SIAP	L08
KLCI	SIAP	R08
KLCI	SIAP	R26
KLCK	SIAP	I05L
KLCK	SIAP	I23L
KLCK	SIAP	L05L
KLCK	SIAP	L23L
KLCK	SIAP	R05L
KLCK	SIAP	R05R
KLCK	SIAP	R23L
KLCK	SIAP	R23R
KLCK	STAR	CBUSS2
KLCK	STAR	CLPRR3
KLCK	STAR	DUBLN1
KLCK	STAR	JAKTZ2
KLCK	STAR	SCRLT2
KLCQ	SIAP	R10
KLCQ	SIAP	R28
KLDJ	STAR	JAIKE4
KLDJ	STAR	LVZ5
KLDJ	STAR	MAZIE3
KLDM	SIAP	R08
KLDM	SIAP	R26
KLEB	SIAP	I18
KLEB	SIAP	L18
KLEB	SIAP	R07
KLEB	SIAP	R18
KLEB	SIAP	R25
KLEB	SIAP	R36
KLEE	SIAP	R04
KLEE	SIAP	R13
KLEE	SIAP	R31
KLEE	STAR	ALYNA4
KLEE	STAR	JOKRS4
KLEE	STAR	MINEE6
KLEE	STAR	MUNGI1
KLEE	STAR	PRICY5
KLEE	STAR	SLOAO1
KLEE	STAR	TTHOR3
KLEM	SIAP	R30
KLEW	SIAP	I04
KLEW	SIAP	L04
KLEW	SIAP	R04
KLEW	SIAP	R22
KLEX	SIAP	I04
KLEX	SIAP	I22
KLEX	SIAP	L04
KLEX	SIAP	L22
KLEX	SIAP	R04
KLEX	SIAP	R09
KLEX	SIAP	R22
KLEX	SIAP	R27
KLEX	SIAP	VOR-A
KLFI	STAR	KOHLS1
KLFI	STAR	OUTLA1
KLFK	SIAP	I07
KLFK	SIAP	L07
KLFK	SIAP	R07
KLFK	SIAP	R16
KLFK	SIAP	R25
KLFK	SIAP	R34
KLFK	SIAP	S16
KLFK	SIAP	S34
KLFT	SIAP	D11
KLFT	SIAP	I04R
KLFT	SIAP	I22L
KLFT	SIAP	L04R
KLFT	SIAP	L22L
KLFT	SIAP	R04R
KLFT	SIAP	R22L
KLFT	SIAP	R29
KLGA	SIAP	H22-Z
KLGA	SIAP	I04
KLGA	SIAP	I13
KLGA	SIAP	I22
KLGA	SIAP	L04
KLGA	SIAP	L13
KLGA	SIAP	L22
KLGA	SIAP	L31
KLGA	SIAP	R04-Y
KLGA	SIAP	R13-Z
KLGA	SIAP	R22-X
KLGA	SIAP	R22-Y
KLGA	SIAP	R250
KLGA	SIAP	R31-Y
KLGA	SIAP	R31-Z
KLGA	SID	GLDMN8
KLGA	SID	HOPEA3
KLGA	SID	JUTES4
KLGA	SID	NTHNS6
KLGA	SID	TNNIS6
KLGA	STAR	APPLE3
KLGA	STAR	MIP4
KLGA	STAR	NOBBI1
KLGA	STAR	PROUD2
KLGA	STAR	VADDR1
KLGB	SIAP	H12
KLGB	SIAP	H26R
KLGB	SIAP	H30-Y
KLGB	SIAP	I30
KLGB	SIAP	L30
KLGB	SIAP	R30-Z
KLGB	SIAP	S30
KLGB	SID	ANAHM2
KLGB	SID	FRITR3
KLGB	SID	HAWWC3
KLGB	SID	TOPMM5
KLGB	SID	ZOOMM3
KLGB	STAR	BAUBB3
KLGB	STAR	DSNEE6
KLGB	STAR	EMMLN3
KLGB	STAR	KAYOH8
KLGB	STAR	PCIFC3
KLGB	STAR	ROOBY3
KLGB	STAR	TANDY6
KLGC	SIAP	I31
KLGC	SIAP	L31
KLGC	SIAP	R03
KLGC	SIAP	R13
KLGC	SIAP	R31
KLGD	SIAP	NDB-B
KLGD	SIAP	R17
KLGD	SID	LGD1
KLGU	SIAP	I17
KLGU	SIAP	L17
KLGU	SIAP	R17
KLGU	SIAP	R35
KLGU	SID	ORNEY1
KLHB	SIAP	R18
KLHB	SIAP	R36
KLHM	SIAP	I15
KLHM	SIAP	L15
KLHM	SIAP	R15
KLHM	SIAP	R33
KLHQ	SIAP	R10
KLHQ	SIAP	R28
KLHQ	SIAP	VOR-A
KLHV	SIAP	RNV-A
KLHW	SIAP	R06L
KLHW	SIAP	R33R
KLHX	SIAP	R08
KLHX	SIAP	R26
KLHZ	SIAP	I05
KLHZ	SIAP	L05
KLHZ	SIAP	R05
KLHZ	SIAP	R23
KLHZ	SIAP	VOR-A
KLIC	SIAP	R16
KLIC	SIAP	R34
KLIT	SIAP	I04L
KLIT	SIAP	I04R
KLIT	SIAP	I22L
KLIT	SIAP	I22R
KLIT	SIAP	L04L
KLIT	SIAP	L04R
KLIT	SIAP	L22L
KLIT	SIAP	L22R
KLIT	SIAP	R04L
KLIT	SIAP	R04R
KLIT	SIAP	R18
KLIT	SIAP	R22L
KLIT	SIAP	R22R
KLIT	SIAP	R36
KLIU	SIAP	R01
KLJF	SIAP	R13
KLJF	SIAP	R31
KLKP	SIAP	R14
KLKP	SIAP	RNV-A
KLKR	SIAP	R06
KLKR	SIAP	R24
KLKR	SID	BARMY6
KLKR	SID	BEAVY7
KLKR	SID	BOBZY6
KLKR	SID	ESTRR6
KLKR	SID	ICONS6
KLKR	SID	JOJJO6
KLKR	SID	KER5
KLKR	SID	KILNS6
KLKR	SID	KNI4
KLKR	SID	KRITR7
KLKR	SID	KWEEN6
KLKR	SID	LILLS4
KLKR	SID	WEAZL6
KLKR	STAR	JOOLS2
KLKR	STAR	LIINN3
KLKR	STAR	MAJIC4
KLKR	STAR	RASLN3
KLKU	SIAP	L27
KLKU	SIAP	R09
KLKU	SIAP	R27
KLKV	SIAP	R17
KLKV	SIAP	R35
KLLJ	SIAP	RNV-A
KLLJ	SID	LKT1
KLLN	SIAP	R17
KLLN	SIAP	R35
KLLQ	SIAP	R03
KLLQ	SIAP	R21
KLLR	SIAP	R29
KLLR	SID	LTLRV1
KLLU	SIAP	R03
KLLU	SIAP	R17
KLLU	SIAP	R35
KLMO	SIAP	R29
KLMO	SIAP	RNV-B
KLMO	SIAP	VDM-A
KLMO	SID	ECHOO1
KLMO	SID	MRSHH2
KLMO	SID	SKYEE1
KLMO	SID	WNGSS1
KLMO	STAR	BRNKO4
KLMO	STAR	PINNR3
KLMS	SIAP	R17
KLMS	SIAP	R35
KLMT	SIAP	D14
KLMT	SIAP	D32
KLMT	SIAP	I14
KLMT	SIAP	I32-Y
KLMT	SIAP	L14
KLMT	SIAP	L32-Y
KLMT	SIAP	R14
KLMT	SIAP	R32
KLMT	SID	CRATR1
KLMT	SID	LMT7
KLNA	SIAP	R34
KLNA	SIAP	RNV-A
KLNA	SIAP	RNV-B
KLNA	STAR	JESTR1
KLNA	STAR	MLB2
KLNA	STAR	TTYLR4
KLNC	SIAP	R31
KLNC	SID	BOTCH2
KLNC	SID	DALL4
KLNC	SID	GARL6
KLNC	SID	JPOOL8
KLNC	SID	KING5
KLNC	SID	KUSSO3
KLNC	SID	NANDR4
KLNC	SID	TEX5
KLNC	SID	WORTH1
KLNC	STAR	DODJE6
KLNC	STAR	FINGR1
KLNC	STAR	GREGS1
KLNC	STAR	HERBZ2
KLNC	STAR	JFRYE5
KLNC	STAR	REEKO3
KLNC	STAR	SLANT3
KLNC	STAR	SWVAY4
KLNC	STAR	WESAT3
KLND	SIAP	R22
KLNK	SIAP	I18-Y
KLNK	SIAP	I36-Y
KLNK	SIAP	L18-Y
KLNK	SIAP	L36-Y
KLNK	SIAP	R14
KLNK	SIAP	R17
KLNK	SIAP	R18
KLNK	SIAP	R32
KLNK	SIAP	R35
KLNK	SIAP	R36
KLNL	SIAP	R14
KLNL	SIAP	R32
KLNN	SIAP	R05
KLNN	SIAP	R10
KLNN	SIAP	R23
KLNN	SIAP	R28
KLNN	SID	AHMET5
KLNN	SID	CAVVS5
KLNN	SID	GTLKE5
KLNN	SID	MYCAR5
KLNN	SID	ZAAPA6
KLNN	STAR	BRWNZ4
KLNN	STAR	ROKNN4
KLNN	STAR	ROLLN2
KLNN	STAR	TRYBE4
KLNP	SIAP	L24
KLNP	SIAP	R06
KLNP	SIAP	R24
KLNR	SIAP	R09
KLNR	SIAP	R27
KLNS	SIAP	D08
KLNS	SIAP	D26
KLNS	SIAP	I08
KLNS	SIAP	L08
KLNS	SIAP	R08
KLNS	SIAP	R13
KLNS	SIAP	R26
KLNS	SIAP	R31
KLOL	SIAP	R02
KLOL	SIAP	R20
KLOL	SIAP	VOR-A
KLOM	SIAP	R06
KLOM	SIAP	R24
KLOT	SIAP	L09
KLOT	SIAP	R02
KLOT	SIAP	R09
KLOT	SIAP	R20
KLOT	SIAP	R27
KLOT	SID	ADELL8
KLOT	SID	BLOKR8
KLOT	SID	CARYN8
KLOT	SID	DARCY8
KLOT	SID	ELANR9
KLOT	SID	OBENE3
KLOU	SIAP	R24
KLOU	SIAP	R33
KLOU	STAR	JMONY2
KLOU	STAR	LEDDL1
KLOU	STAR	MBELL5
KLOZ	SIAP	I06
KLOZ	SIAP	L06
KLOZ	SIAP	R06
KLOZ	SIAP	R24
KLPC	SIAP	R25
KLPC	SIAP	VDM-A
KLPR	SIAP	I07
KLPR	SIAP	L07
KLPR	SIAP	R07
KLPR	SID	AHMET5
KLPR	SID	CAVVS5
KLPR	SID	GTLKE5
KLPR	SID	MYCAR5
KLPR	SID	ZAAPA6
KLPR	STAR	BRWNZ4
KLPR	STAR	ROKNN4
KLPR	STAR	ROLLN2
KLQK	SIAP	R05
KLQK	SIAP	R23
KLQR	SIAP	R17
KLQR	SIAP	R35
KLRD	SIAP	B36L
KLRD	SIAP	R14
KLRD	SIAP	R18L
KLRD	SIAP	R18R
KLRD	SIAP	R32
KLRD	SIAP	R36L
KLRD	SIAP	S14
KLRD	SIAP	S32
KLRG	SIAP	R16
KLRG	SIAP	R34
KLRJ	SIAP	R18
KLRJ	SIAP	R36
KLRO	SIAP	R17
KLRO	SIAP	R35
KLRU	SIAP	I30
KLRU	SIAP	L30
KLRU	SIAP	R12
KLRU	SIAP	R30
KLRY	SIAP	R17
KLRY	SIAP	R35
KLSE	SIAP	I18
KLSE	SIAP	L18
KLSE	SIAP	R04
KLSE	SIAP	R13
KLSE	SIAP	R18
KLSE	SIAP	R22
KLSE	SIAP	R31
KLSE	SIAP	R36
KLSN	SIAP	R14
KLSN	SIAP	R32
