Arpt_ICAO	Procedure Type	Procedure Ident
3M9	SIAP	R03
3M9	SIAP	R21
3MY	SIAP	R18
3N6	SIAP	R06
3N6	SIAP	R24
3N6	SIAP	S24
3N8	SIAP	R17
3N8	SIAP	R35
3P3	SIAP	R10
3P3	SIAP	R28
3R4	SIAP	R12
3R4	SIAP	R30
3R7	SIAP	R08
3R7	SIAP	R26
3R9	SIAP	R16
3R9	SID	AEROZ2
3R9	SID	BNDIA3
3R9	SID	ELOEL3
3R9	SID	ILEXY4
3R9	SID	MUCKY3
3R9	SID	SAYBR3
3R9	STAR	BLEWE5
3R9	STAR	GABOO1
3R9	STAR	POTRR2
3R9	STAR	SZAGI3
3S8	SIAP	R13
3S8	SIAP	RNV-A
3T3	SIAP	R08
3T3	SIAP	R26
3T5	SIAP	R16
3T5	SIAP	R34
3TR	SIAP	R15
3TR	SIAP	R33
3U3	SIAP	RNV-B
3U3	SIAP	VOR-A
3W7	SIAP	R22-Y
3W7	SIAP	R22-Z
3W7	SID	SINGG1
3Y2	SIAP	R17
3Y2	SIAP	R35
3Y3	SIAP	R14
3Y3	SIAP	R32
40G	SIAP	R01
40G	SIAP	R19
40U	SIAP	R25
40U	SID	WEGEM1
41F	SIAP	R17
41F	SIAP	R35
41U	SIAP	R03
41U	SID	WUXOT1
41U	SID	YMONT1
42A	SIAP	R03
42A	SIAP	R21
42J	SIAP	R05
43A	SIAP	R03
43A	SIAP	R21
43B	SIAP	RNV-A
44C	SIAP	VOR-A
44N	SIAP	R17
44N	SIAP	R35
45R	SIAP	R13
46D	SIAP	R31
47K	SIAP	R17
47K	SIAP	R35
47N	SIAP	R07
47N	SIAP	R25
47N	SID	CENTR1
47N	STAR	JAIKE4
47N	STAR	MAZIE3
47V	SIAP	R12
47V	SIAP	R30
48A	SIAP	R29
48D	SIAP	R04
48I	SIAP	R20
48K	SIAP	R17
48K	SIAP	R35
49A	SIAP	R03
49A	SIAP	R21
49B	SIAP	R11
49B	SIAP	R29
4A4	SIAP	R10
4A4	SIAP	R28
4A4	SIAP	VOR-A
4A5	SIAP	R05
4A5	SIAP	R23
4A6	SIAP	R04
4A6	SIAP	R22
4A9	SIAP	R04
4A9	SIAP	R22-Y
4A9	SIAP	R22-Z
4B0	SIAP	R01
4B0	SIAP	R19
4B6	SIAP	R02
4B6	SIAP	R20
4B8	SIAP	R02
4B8	SIAP	R20
4C8	SIAP	R13
4C8	SIAP	R31
4D0	SIAP	R09
4D8	SIAP	RNV-B
4D9	SIAP	R17
4D9	SIAP	R35
4E7	SIAP	R31
4F2	SIAP	R17
4F2	SIAP	R35
4G1	SIAP	RNV-B
4G4	SIAP	R10
4G4	SIAP	R28
4G5	SIAP	R25
4G7	SIAP	R23
4I3	SIAP	R10
4I3	SIAP	R28
4I3	SIAP	VOR-A
4I9	SIAP	VOR-A
4J1	SIAP	R01
4J1	SIAP	R19
4J2	SIAP	R10
4J2	SIAP	R28
4J5	SIAP	R10
4J5	SIAP	R28
4K6	SIAP	R36
4M1	SIAP	R07
4M1	SIAP	R25
4M3	SIAP	R09
4M3	SIAP	R27
4M7	SIAP	R07
4M7	SIAP	R25
4M9	SIAP	R18
4M9	SIAP	R36
4N1	SIAP	R06
4N1	SIAP	R24
4O4	SIAP	R02
4O4	SIAP	R20
4R3	SIAP	R01
4R3	SIAP	R19
4R5	SIAP	R04
4R5	SIAP	R22
4R7	SIAP	R16
4R7	SIAP	R34
4S1	SIAP	RNV-A
4S1	SID	NELLL1
4T2	SIAP	R17
4T2	SIAP	R35
4U6	SIAP	R12
4U6	SIAP	R30
4V0	SIAP	R07
4V0	SIAP	R25
4V0	SID	ELIZZ1
4V1	SIAP	R09
4V1	SIAP	R27
4V1	SID	GOSIP1
4V4	SIAP	R26
4V9	SIAP	R01
4V9	SIAP	R19
4X4	SIAP	R12
4X4	SIAP	R30
50F	SIAP	R17
50F	SIAP	R35
50F	SID	BOTCH2
50F	SID	GARL6
50F	SID	JPOOL8
50F	SID	KING5
50F	SID	KUSSO3
50F	SID	NANDR4
50F	STAR	LIKES4
50F	STAR	MOTZA1
50F	STAR	REEKO3
50F	STAR	SASIE8
50F	STAR	TRUUK3
50F	STAR	WESAT3
50I	SIAP	R27
50R	SIAP	R18
50R	SIAP	R36
51D	SIAP	R14
51D	SIAP	R32
51J	SIAP	R01
51J	SIAP	R19
51R	SIAP	R01
51R	SIAP	R19
52A	SIAP	R14
52A	SIAP	VDM-A
52B	SIAP	RNV-B
53A	SIAP	R18
53A	SIAP	R36
54J	SIAP	R09
54J	SIAP	R27
54T	SIAP	RNV-A
54T	SID	BLTWY7
54T	SID	BORRN6
54T	SID	HOODO7
54T	SID	INDIE8
54T	SID	KARRR7
54T	SID	LURIC8
54T	SID	MMALT7
54T	SID	STRYA8
54T	SID	STYCK8
54T	SID	WATFO6
54T	SID	WYLSN8
54T	STAR	CESAN4
54T	STAR	HUDZY5
54T	STAR	OHIIO4
54T	STAR	SNDAY1
54T	STAR	TKNIQ3
54T	STAR	TSHRT2
54T	STAR	WAPPL7
55Y	SIAP	R34
56D	SIAP	VOR-A
57C	SIAP	R08
57C	SIAP	R26
57C	SIAP	VDM-A
57C	SID	ACCRA5
57C	SID	UECKR6
57C	STAR	GOPAC3
57D	SIAP	RNV-A
58M	SIAP	RNV-B
58N	SIAP	RNV-A
59B	SIAP	R13
59B	SIAP	R31
5A1	SIAP	R28
5A4	SIAP	R18
5A4	SIAP	R36
5A6	SIAP	R03
5A6	SIAP	R21
5B2	SIAP	R05
5B2	SIAP	R23
5B6	SIAP	R07
5B6	SIAP	R25
5B9	SIAP	R19
5C1	SIAP	R17
5C1	SIAP	R35
5C1	SID	ALISS7
5C1	SID	SLENA2
5C1	SID	SNIDR2
5C1	SID	TJANO2
5C1	SID	YODUH2
5C1	STAR	CRVZA2
5C1	STAR	DNKIN2
5C1	STAR	POPPO2
5C1	STAR	QERVO3
5C8	SIAP	R08
5C8	SIAP	R26
5G0	SIAP	R10
5G0	SIAP	R28
5G7	SIAP	R23
5H4	SIAP	R11
5H4	SIAP	R29
5I4	SIAP	R05
5I4	SIAP	R23
5J9	SIAP	P26
5K2	SIAP	R17
5K2	SIAP	R35
5L0	SIAP	R33
5M0	SIAP	R18
5M0	SIAP	R36
5M1	SIAP	R18
5M1	SIAP	R36
5M5	SIAP	R13
5N8	SIAP	R13
5N8	SIAP	R31
5R1	SIAP	R12
5R1	SIAP	R30
5R4	SIAP	R18
5R4	SIAP	R36
5R8	SIAP	R16
5R8	SIAP	R34
5T9	SIAP	R13
5T9	SIAP	R31
5W4	SIAP	RNV-A
5W4	SIAP	VOR-A
60F	SIAP	R17
60R	SIAP	R17
60R	SIAP	R35
61A	SIAP	R18
61A	SIAP	R36
61C	SIAP	R03
61C	SIAP	R21
62S	SIAP	RNV-A
63C	SIAP	R33
65S	SIAP	R02
65S	SID	KARPS2
67L	SIAP	R02
69V	SIAP	RNV-C
69V	SIAP	VOR-B
6A1	SIAP	R01
6A1	SIAP	R19
6A2	SIAP	R14
6A2	SIAP	R32
6A2	STAR	BUKHD3
6A2	STAR	DEHAN3
6A4	SIAP	R07
6A4	SIAP	R25
6B6	SIAP	R21
6B9	SIAP	RNV-A
6B9	SIAP	RNV-B
6D6	SIAP	R10
